"","x"
"1","44I4."
"2","44J3."
"3","451E."
"4","44I5."
"5","423.."
"6","42H.."
"7","42M.."
"8","42P.."
"9","429.."
"10","428.."
"11","426.."
"12","42A.."
"13","42J.."
"14","42K.."
"15","42N.."
"16","42L.."
"17","44M4."
"18","44F.."
"19","44EC."
"20","451L."
"21","451G."
"22","4258."
"23","44GB."
"24","44J9."
"25","44I8."
"26","44IC."
"27","44g.."
"28","425.."
"29","42Z7."
"30","442W."
"31","44CC."
"32","44G3."
"33","44P.."
"34","44P5."
"35","44I9."
"36","4266."
"37","44PF."
"38","44LD."
"39","44CS."
"40","42W5."
"41","44I7."
"42","42QE."
"43","42Q5."
"44","42R4."
"45","46TC."
"46","44M3."
"47","42jG."
"48","442V."
"49","42B.."
"50","44Q.."
"51","44lF."
"52","44G9."
"53","42Qu."
"54","42R7."
"55","44CB."
"56","42d1."
"57","46W.."
"58","42U5."
"59","44D8."
"60","42T.."
"61","46M7."
"62","421B."
"63","44CN."
"64","4IA1."
"65","46N4."
"66","43ZF."
"67","44K5."
"68","44HG."
"69","44lD."
"70","47K.."
"71","44dB."
"72","44PI."
"73","44MG."
"74","44A1."
"75","43Z2."
"76","44NA."
"77","44D5."
"78","44p.."
"79","42Qn."
"80","42X.."
"81","43J5."
"82","443h."
"83","43J3."
"84","44WY."
"85","42Qf."
"86","43J4."
"87","46O3."
"88","4JR1."
"89","44HF."
"90","443e."
"91","44MC."
"92","44a6."
"93","4473."
"94","44LA."
"95","43ad."
"96","43d5."
"97","44a0."
"98","42Y0."
"99","44uI."
"100","43X2."
"101","44I6."
"102","44HB."
"103","Table"
"104","42B6."
"105","STYP"
"106","442f."
"107","PTCR"
"108","TCTR"
"109","TCT"
"110","VLDLC"
"111","44L2."
"112","4I3L."
"113","46N3."
"114","WCV"
"115","43hD."
"116","44ZG."
"117","44hB."
"118","44YD."
"119","44ZP."
"120","44h2."
"121","PHT"
"122","42VR."
"123","PHHB"
"124","44Y4."
"125","PPCO2T"
"126","44TJ."
"127","44Y6."
"128","44h0."
"129","44YA."
"130","44hD."
"131","FIO2"
"132","44h1."
"133","42VB."
"134","PTEMP"
"135","PPO2T"
"136","UPRO24"
"137","XZXCVSN"
"138","44ME."
"139","XZXCVS"
"140","44PJ."
"141","44P6."
"142","44g0."
"143","44ID."
"144","44hC."
"145","44h3."
"146","44Y2."
"147","44IA."
"148","44N.."
"149","44LP."
"150","43G1."
"151","42g.."
"152","44E3."
"153","42j9."
"154","44g1."
"155","44AJ."
"156","44MB."
"157","46f.."
"158","468.."
"159","46N.."
"160","466A."
"161","42h6."
"162","4QA.."
"163","42bE."
"164","42Z5."
"165","42ZD."
"166","42P5."
"167","44H5."
"168","44PL0"
"169","42W4."
"170","44H4."
"171","46I.."
"172","44ZJ."
"173","46Q8."
"174","46QB."
"175","46QF."
"176","44qF."
"177","46QA."
"178","44q5."
"179","43Z8."
"180","44B.."
"181","442U."
"182","4482."
